Differences between 
	sv6_GenTest__SV6.bin 
and 
	sv6_GenTest__out__sv6.bin 
----------------------------------------------
Address		Length of span	File 1	File 2
002725E9:	4		0455..	0000..
002725EE:	4		025E..	0000..
002725F3:	4		0460..	0000..
002725F8:	4		0165..	0000..
002725FD:	4		0472..	0000..
00272602:	4		0176..	0000..
00272607:	4		0245..	0000..
0027260C:	4		0250..	0000..
00272611:	4		0351..	0000..
00272616:	4		0368..	0000..
0027261B:	4		0146..	0000..
00272620:	4		0169..	0000..
00272625:	4		0147..	0000..
0027262A:	4		043E..	0000..
0027262F:	4		0121..	0000..
00272634:	4		0542..	0000..
00272639:	4		025B..	0000..
0027263E:	4		0363..	0000..
00272643:	4		013C..	0000..
00272648:	2		0508..	0000..
0027264D:	2		0605..	0000..
00272652:	2		0612..	0000..
00272657:	2		0603..	0000..
0027265C:	2		0607..	0000..
00272661:	2		0604..	0000..
00272666:	2		060C..	0000..
0027266B:	1		0600..	0000..
00272670:	2		0611..	0000..
00272675:	4		064B..	0000..
0027267A:	4		0257..	0000..
0027267F:	7		05FF..	0000..
00272689:	4		064E..	0000..
0027268E:	4		0212..	0000..
00272693:	4		054C..	0000..
00272698:	4		0149..	0000..
0027269D:	4		0353..	0000..
002726A2:	4		0535..	0000..
002726A7:	4		015D..	0000..
002726AC:	2		040B..	0000..
002726B1:	4		0636..	0000..
002726B6:	4		0578..	0000..
002726BB:	4		0252..	0000..
002726C0:	4		056A..	0000..
002726C5:	4		023A..	0000..
002726CA:	4		0337..	0000..
002726CF:	4		0248..	0000..
002726D4:	4		0338..	0000..
002726D9:	4		0266..	0000..
002726DE:	2		0110..	0000..
002726E3:	10		06FE..	0000..
002726EE:	4		FDFF..	0000..
002726F3:	4		FDFF..	0000..
002726F8:	4		FDFF..	0000..
002726FD:	4		FDFF..	0000..
00272702:	4		FDFF..	0000..
00272707:	4		FDFF..	0000..
0027270C:	4		FDFF..	0000..
00272711:	4		FDFF..	0000..
00272716:	4		FDFF..	0000..
0027271B:	4		FDFF..	0000..
00272720:	4		FDFF..	0000..
00272725:	4		FDFF..	0000..
0027272A:	4		FDFF..	0000..
0027272F:	4		FDFF..	0000..
00272734:	4		FDFF..	0000..
00272739:	4		FDFF..	0000..
0027273E:	4		FDFF..	0000..
00272743:	4		FDFF..	0000..
00272748:	4		FDFF..	0000..
0027274D:	4		FDFF..	0000..
00272752:	4		FDFF..	0000..
00272757:	4		FDFF..	0000..
0027275C:	4		FDFF..	0000..
00272761:	4		FDFF..	0000..
00272766:	4		FDFF..	0000..
0027276B:	4		FDFF..	0000..
